,vid,cooked,uncooked,perc
0,ideal_frame00000,0,1435809,1
1,ideal_frame00900,0,1430403,1
2,ideal_frame01800,0,1402741,1
3,ideal_frame02700,0,1415503,1
4,ideal_frame03600,0,1396979,1
5,ideal_frame04500,27354,917215,0.97104076
6,ideal_frame05400,58000,1225327,0.954804972
7,ideal_frame06300,30221,1167772,0.974773642
8,ideal_frame07200,135935,924641,0.871829082
9,ideal_frame08100,822851,338402,0.291411088
10,ideal_frame09000,959938,305455,0.24139141
11,ideal_frame09900,1213070,189026,0.134816732
12,ideal_frame10800,623782,151295,0.195199961
13,ideal_frame11700,1286782,63665,0.047143649
14,ideal_frame12600,748591,59299,0.073399844
15,ideal_frame13500,1454016,28783,0.019411262
16,ideal_frame14400,922547,0,0
17,ideal_frame15300,1456292,0,0
18,ideal_frame16200,1242397,0,0
19,ideal_frame17100,869599,253841,0.225949761
